title_en,year,rating,genre,synopsis
The Kid,1921,8.2,Buddy Comedy,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
Sherlock Jr.,1924,8.2,Bumbling Detective,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
The Gold Rush,1925,8.1,Farce,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
The General,1926,8.1,Farce,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Metropolis,1927,8.3,Dystopian Sci-Fi,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
The Passion of Joan of Arc,1928,8.1,Legal Drama,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
City Lights,1931,8.5,Feel-Good Romance,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
M,1931,8.3,Psychological Thriller,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
It Happened One Night,1934,8.1,Road Trip,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.
Modern Times,1936,8.5,Slapstick,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Gone with the Wind,1939,8.2,Epic,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
The Wizard of Oz,1939,8.1,Classic Musical,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Mr. Smith Goes to Washington,1939,8.1,Political Drama,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
Rebecca,1940,8.1,Dark Romance,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
The Great Dictator,1940,8.4,Parody,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
The Grapes of Wrath,1940,8.1,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Citizen Kane,1941,8.3,Epic,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Casablanca,1942,8.5,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
To Be or Not to Be,1942,8.1,Screwball Comedy,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Double Indemnity,1944,8.3,Film Noir,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
The Best Years of Our Lives,1946,8.1,Epic,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
It's a Wonderful Life,1946,8.6,Feel-Good Romance,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Treasure of the Sierra Madre,1948,8.2,Tragedy,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Bicycle Thieves,1948,8.3,Tragedy,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
The Third Man,1949,8.1,Film Noir,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Rashomon,1950,8.2,Crime,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
All About Eve,1950,8.2,Showbiz Drama,Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.
Sunset Boulevard,1950,8.4,Film Noir,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Singin' in the Rain,1952,8.3,Classic Musical,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Ikiru,1952,8.3,Psychological Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Tokyo Story,1953,8.1,Psychological Drama,"An old couple visit their children and grandchildren in the city, but receive little attention."
The Wages of Fear,1953,8.1,Psychological Drama,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Rear Window,1954,8.5,Suspense Mystery,"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer."
Dial M for Murder,1954,8.2,Crime,A former tennis star arranges the murder of his adulterous wife.
Seven Samurai,1954,8.6,Action Epic,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
On the Waterfront,1954,8.1,Crime,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
Witness for the Prosecution,1957,8.4,Legal Drama,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
The Bridge on the River Kwai,1957,8.1,Jungle Adventure,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Wild Strawberries,1957,8.1,Psychological Drama,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
12 Angry Men,1957,9.0,Legal Drama,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
The Seventh Seal,1957,8.1,Psychological Drama,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Paths of Glory,1957,8.4,Drama,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
Vertigo,1958,8.3,Psychological Thriller,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Some Like It Hot,1959,8.2,Buddy Comedy,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Ben-Hur,1959,8.1,Adventure Epic,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge."
North by Northwest,1959,8.3,Spy,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
The Apartment,1960,8.3,Holiday Comedy,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
Psycho,1960,8.5,Psychological Horror,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
Yojimbo,1961,8.2,One-Person Army Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Judgment at Nuremberg,1961,8.3,Drama,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions."
Lawrence of Arabia,1962,8.3,Adventure Epic,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
To Kill a Mockingbird,1962,8.3,Legal Drama,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
Harakiri,1962,8.6,Period Drama,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
High and Low,1963,8.4,Police Procedural,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
The Great Escape,1963,8.2,Period Drama,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,Dark Comedy,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
For a Few Dollars More,1965,8.2,One-Person Army Action,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
The Sound of Music,1965,8.1,Classic Musical,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
The Battle of Algiers,1966,8.1,Docudrama,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
"The Good, the Bad and the Ugly",1966,8.8,Desert Adventure,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Cool Hand Luke,1967,8.1,Prison Drama,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Once Upon a Time in the West,1968,8.5,Desert Adventure,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
2001: A Space Odyssey,1968,8.3,Adventure Epic,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
A Clockwork Orange,1971,8.2,Dark Comedy,Alex DeLarge and his droogs barbarize a decaying near-future.
The Godfather,1972,9.2,Epic,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Exorcist,1973,8.1,Supernatural Horror,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life."
The Sting,1973,8.3,Caper,Two grifters team up to pull off the ultimate con.
The Godfather Part II,1974,9.0,Epic,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Chinatown,1974,8.1,Conspiracy Thriller,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Jaws,1975,8.1,Sea Adventure,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Monty Python and the Holy Grail,1975,8.2,Parody,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Barry Lyndon,1975,8.1,Adventure,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
One Flew Over the Cuckoo's Nest,1975,8.7,Medical Drama,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
Network,1976,8.1,Workplace Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control."
Taxi Driver,1976,8.2,Psychological Drama,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
Rocky,1976,8.1,Boxing,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Star Wars: Episode IV - A New Hope,1977,8.6,Action Epic,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
The Deer Hunter,1978,8.1,War Epic,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
Apocalypse Now,1979,8.4,Adventure Epic,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Alien,1979,8.5,Cyberpunk,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Action Epic,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
Raging Bull,1980,8.1,Boxing,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
The Elephant Man,1980,8.2,Docudrama,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
The Shining,1980,8.4,Psychological Drama,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
Raiders of the Lost Ark,1981,8.4,Adventure Epic,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
Das Boot,1981,8.4,War Epic,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
The Thing,1982,8.2,Alien Invasion,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Blade Runner,1982,8.1,Artificial Intelligence,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Action Epic,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
Scarface,1983,8.3,Drug Crime,"Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction."
Once Upon a Time in America,1984,8.3,Dark Comedy,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Amadeus,1984,8.4,Costume Drama,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
"Paris, Texas",1984,8.1,Road Trip,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
The Terminator,1984,8.1,Artificial Intelligence,"A cyborg assassin from the future attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction."
Come and See,1985,8.4,Epic,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Back to the Future,1985,8.5,Car Action,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Ran,1985,8.2,Samurai,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Aliens,1986,8.4,Alien Invasion,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Platoon,1986,8.1,Drama,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Stand by Me,1986,8.1,Coming-of-Age,A writer recounts a childhood journey with his friends to find the body of a missing boy.
Full Metal Jacket,1987,8.2,Period Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
My Neighbor Totoro,1988,8.1,Anime,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Die Hard,1988,8.2,One-Person Army Action,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Cinema Paradiso,1988,8.5,Coming-of-Age,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
Grave of the Fireflies,1988,8.5,Adult Animation,A young boy and his little sister struggle to survive in Japan during World War II.
Indiana Jones and the Last Crusade,1989,8.2,Adventure Epic,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Dead Poets Society,1989,8.1,Coming-of-Age,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
Goodfellas,1990,8.7,Gangster,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
The Silence of the Lambs,1991,8.6,Police Procedural,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Terminator 2: Judgment Day,1991,8.6,Action Epic,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
Unforgiven,1992,8.2,Tragedy,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.
Reservoir Dogs,1992,8.3,Gangster,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Scent of a Woman,1992,8.0,Epic,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
In the Name of the Father,1993,8.1,Docudrama,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
Jurassic Park,1993,8.2,Dinosaur Adventure,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
Schindler's List,1993,9.0,Epic,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Groundhog Day,1993,8.0,Feel-Good Romance,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
Forrest Gump,1994,8.8,Epic,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Pulp Fiction,1994,8.9,Dark Comedy,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Lion King,1994,8.5,Animal Adventure,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Léon: The Professional,1994,8.5,Gangster,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Shawshank Redemption,1994,9.3,Epic,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
La haine,1995,8.1,Gangster,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Se7en,1995,8.6,Cop Drama,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Before Sunrise,1995,8.1,Romantic Comedy,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Heat,1995,8.3,Cop Drama,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
Toy Story,1995,8.3,Buddy Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
The Usual Suspects,1995,8.5,Gangster,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
