title_en,year,rating,genre,synopsis
Casino,1995,8.2,Docudrama,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
Braveheart,1995,8.3,Costume Drama,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Fargo,1996,8.1,Cop Drama,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Trainspotting,1996,8.1,Dark Comedy,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
Children of Heaven,1997,8.2,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
Princess Mononoke,1997,8.3,Action Epic,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
L.A. Confidential,1997,8.2,Conspiracy Thriller,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Good Will Hunting,1997,8.3,Coming-of-Age,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Life Is Beautiful,1997,8.6,Period Drama,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
"Lock, Stock and Two Smoking Barrels",1998,8.1,Farce,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
The Truman Show,1998,8.2,High-Concept Comedy,"An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape."
American History X,1998,8.5,Prison Drama,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
The Big Lebowski,1998,8.1,Satire,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Saving Private Ryan,1998,8.6,Epic,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Matrix,1999,8.7,Action Epic,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
The Green Mile,1999,8.6,Period Drama,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
Fight Club,1999,8.8,Psychological Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Iron Giant,1999,8.1,Alien Invasion,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
American Beauty,1999,8.3,Psychological Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
The Sixth Sense,1999,8.2,Psychological Drama,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
Snatch,2000,8.2,Caper,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Memento,2000,8.4,Psychological Thriller,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
Gladiator,2000,8.5,Action Epic,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Requiem for a Dream,2000,8.3,Psychological Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..
Amores Perros,2000,8.0,Tragedy,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City."
"Monsters, Inc.",2001,8.1,Buddy Comedy,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Amélie,2001,8.3,Feel-Good Romance,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,Adventure Epic,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Spirited Away,2001,8.6,Anime,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
A Beautiful Mind,2001,8.2,Docudrama,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
City of God,2002,8.6,Coming-of-Age,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Catch Me If You Can,2002,8.1,Caper,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
The Lord of the Rings: The Two Towers,2002,8.8,Adventure Epic,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
The Pianist,2002,8.5,Docudrama,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
Memories of Murder,2003,8.1,Police Procedural,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Oldboy,2003,8.3,One-Person Army Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,Sea Adventure,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
Kill Bill: Vol. 1,2003,8.2,Martial Arts,"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,8.2,Animal Adventure,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Lord of the Rings: The Return of the King,2003,9.0,Adventure Epic,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Howl's Moving Castle,2004,8.2,Adventure Epic,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
The Incredibles,2004,8.0,Computer Animation,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
Hotel Rwanda,2004,8.1,Docudrama,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Downfall,2004,8.2,Docudrama,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Before Sunset,2004,8.1,Drama,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Eternal Sunshine of the Spotless Mind,2004,8.3,Dark Romance,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Million Dollar Baby,2004,8.1,Boxing,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
My Father and My Son,2005,8.2,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
V for Vendetta,2005,8.1,Dystopian Sci-Fi,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
Batman Begins,2005,8.2,Action Epic,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
The Lives of Others,2006,8.4,Political Thriller,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
The Departed,2006,8.5,Cop Drama,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Prestige,2006,8.5,Period Drama,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Pan's Labyrinth,2006,8.2,Coming-of-Age,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Ratatouille,2007,8.1,Animal Adventure,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Into the Wild,2007,8.1,Coming-of-Age,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness."
No Country for Old Men,2007,8.2,Contemporary Western,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
Like Stars on Earth,2007,8.3,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
There Will Be Blood,2007,8.2,Epic,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Gran Torino,2008,8.1,Drama,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
The Dark Knight,2008,9.0,Action Epic,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
WALL·E,2008,8.4,Adventure Epic,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
Hachi: A Dog's Tale,2009,8.1,Animal Adventure,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond grows deeper, a beautiful relationship unfolds."
Mary and Max,2009,8.1,Adult Animation,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
3 Idiots,2009,8.4,Comedy,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
The Secret in Their Eyes,2009,8.2,Dark Romance,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Inglourious Basterds,2009,8.4,Dark Comedy,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Up,2009,8.3,Coming-of-Age,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
Shutter Island,2010,8.2,Psychological Thriller,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
Incendies,2010,8.3,Suspense Mystery,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
How to Train Your Dragon,2010,8.1,Computer Animation,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Toy Story 3,2010,8.3,Computer Animation,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Inception,2010,8.8,Action Epic,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Warrior,2011,8.1,Boxing,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,Dark Fantasy,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
The Intouchables,2011,8.5,Docudrama,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
A Separation,2011,8.3,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
The Help,2011,8.1,Period Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
Django Unchained,2012,8.5,Dark Comedy,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
The Hunt,2012,8.3,Psychological Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
The Dark Knight Rises,2012,8.4,Action Epic,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
12 Years a Slave,2013,8.1,Epic,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Rush,2013,8.1,Docudrama,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
Prisoners,2013,8.2,Psychological Thriller,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street."
The Wolf of Wall Street,2013,8.2,Dark Comedy,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Wild Tales,2014,8.1,Dark Comedy,Six short stories that explore the extremities of human behavior involving people in distress.
Gone Girl,2014,8.1,Erotic Thriller,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
The Grand Budapest Hotel,2014,8.1,Caper,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Whiplash,2014,8.5,Psychological Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Interstellar,2014,8.7,Adventure Epic,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Drishyam,2015,8.2,Crime,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Room,2015,8.1,Psychological Drama,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
Spotlight,2015,8.1,Docudrama,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Mad Max: Fury Road,2015,8.1,Action Epic,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
Inside Out,2015,8.1,Coming-of-Age,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Dangal,2016,8.3,Action,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
Hacksaw Ridge,2016,8.1,Period Drama,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The Handmaiden,2016,8.1,Dark Romance,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune."
Your Name.,2016,8.4,Anime,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
Logan,2017,8.1,Dystopian Sci-Fi,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Coco,2017,8.4,Computer Animation,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
"Three Billboards Outside Ebbing, Missouri",2017,8.1,Dark Comedy,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Green Book,2018,8.2,Docudrama,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Capernaum,2018,8.4,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Spider-Man: Into the Spider-Verse,2018,8.4,Computer Animation,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Avengers: Infinity War,2018,8.4,Space Sci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Parasite,2019,8.5,Dark Comedy,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Joker,2019,8.4,Psychological Drama,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City."
Avengers: Endgame,2019,8.4,Space Sci-Fi,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
1917,2019,8.2,Epic,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Klaus,2019,8.2,Hand-Drawn Animation,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Ford v Ferrari,2019,8.1,Docudrama,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
The Father,2020,8.2,Psychological Drama,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Hamilton,2020,8.3,Biography,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Spider-Man: No Way Home,2021,8.2,Superhero,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
Jai Bhim,2021,8.7,Crime,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Top Gun: Maverick,2022,8.2,Action Epic,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
12th Fail,2023,8.9,Docudrama,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
Spider-Man: Across the Spider-Verse,2023,8.6,Computer Animation,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Oppenheimer,2023,8.3,Docudrama,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Maharaja,2024,8.5,Action,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Dune: Part Two,2024,8.5,Action Epic,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
